,SDGs 01,SDGs 02,SDGs 03,SDGs 04,SDGs 05,SDGs 06,SDGs 07,SDGs 08,SDGs 09,SDGs 10,SDGs 11,SDGs 12,SDGs 13,SDGs 14,SDGs 15,SDGs 16,SDGs 17
,,Special Supplemental Nutrition Program for Women,infectious disease prevention,,,rehabilitation of the river,hybrid passenger bus,,product design process,participation of Angola,urban soils,,oxy-fuel processes,macroplastic particles,Peromyscus polionotus phasma,sixth amendment,
,,stabili*,infectious disease surveillance,,,rehabilitation of the rivers,hybrid passenger buses,,product innovation,participation of Antigua and Barbuda,urban solid waste,,oxy-fuel technologies,macroplastic*,Peromyscus polionotus trissyllepsis,smuggling network,
,,State of women,infectious disease treatment,,,rehabilitation of the stream,hybrid power train*,,product innovations,participation of Argentina,urban solid waste management,,oxy-fuel technology,macroplastics,Petrogale xanthopus,smuggling networks,
,,Status of women,infectious epidemic,,,rehabilitation of the streams,hybrid powertrain*,,production technologies,participation of Armenia,urban space,,oxyburner,Madagascar,Petroica traversi,smuggling of arms,
,,steel,infectious epidemics,,,rehabilitation of the water eco-system,hybrid propulsion,,production technology,participation of Azerbaijan,urban spaces,,oxyburners,Mako Shark,Pezoporus wallicus,smuggling of cash,
,,strawberry,infectious outbreak,,,rehabilitation of the water eco-systems,hybrid public bus,,products,participation of Bangladesh,urban sprawl,,oxyfuel combustion,Maldives,Pharomachrus mocinno,smuggling of firearms,
,,stunting,infectious outbreaks,,,rehabilitation of the water ecosystem,hybrid public buses,,prostheses,participation of Belarus,urban stormwater,,oxyfuel process,Mallotus villosus,Phelsuma edwardnewtoni,smuggling of money,
,,subsistence farming,infectious pandemic,,,rehabilitation of the water ecosystems,hybrid railway*,,prosthesis,participation of Belize,urban sustainability,,oxyfuel processes,manag*,Phelsuma guentheri,smuggling of weapons,
,,sugarcane,infectious pandemics,,,rehabilitation of the wetland,hybrid road vehicle*,,prosthodontic,participation of Benin,urban traffic,,oxyfuel technologies,manag* overcapacity*,Phoenicoparrus andinus,social aggression,
,,supplies,influenza,,,rehabilitation of the wetlands,hybrid scooter*,,prosthodontics,participation of Bhutan,urban traffic congestion,,oxyfuel technology,manage fisheries,Physa natricina,spousal abuse,
,,supply,influenza control,,,rehabilitation of water eco-system,hybrid ship,,provision of Internet,participation of Bolivia,urban traffic flow,,paleoclimate,management,phyto remediation,spousal assault,
,,supply and demand,influenza detection,,,rehabilitation of water eco-systems,hybrid ships,,public infrastructure,participation of Bosnia and Herzegovina,urban transformation,,paleoclimates,management framework,phytoextraction,spousal rape,
,,sustain*,influenza epidemic,,,rehabilitation of water ecosystem,hybrid solar vehicle*,,public infrastructures,participation of Botswana,urban transit,,paleoclimatic,management of marine,phytoremediation,spousal violence,
,,sustain* agricultural* systems*,influenza epidemics,,,rehabilitation of water ecosystems,hybrid train,,public internet,participation of Brazil,urban transit network,,paleoclimatology,managing impacts,phytostabilization,spouse abuse,
,,sustaina* crop* production*,influenza outbreak,,,rehabilitation of wetland,hybrid trains,,public transport,participation of Burkina Faso,urban transit networks,,Panel on Climate Change,mangrove,Phytotoma raimondii,stakeholder engagement,
,,sustaina* food* production*,influenza outbreaks,,,rehabilitation of wetlands,hybrid tramway*,,public transport network,participation of Burundi,urban transport,,Paris Agreement,mangrove planting,Picathartes gymnocephalus,stakeholder involvement,
,,sustainab,influenza pandemic,,,rehabilitation*,hybrid truck*,,public transport service,participation of Cambodia,urban transportation,,peanut* breed*,mangrove reforestation,Picathartes oreas,stakeholder participation,
,,sustainability transition,influenza pandemics,,,reliable irrigation,hybrid vehicle*,,public transport services,participation of Cameroon,urban tree,,peanut* improv*,mangrove restoration,Picoides borealis,state corruption,
,,sustainable,influenza preparedness,,,reliable water management,HYBTOK-II,,public Wi-Fi,participation of Cape Verde,urban trees,,peatland carbon dioxide storage,mangrove*,Pionopsitta pileata,state patronage,
,,sustainable agricultural,influenza prevention,,,reliable water Planning,hydraulic hybrid*,,public WiFi,participation of Central African Republic,urban vegetation,,peatland carbon storage,mangrove* forest*,Pipile jacutinga,state repression,
,,sustainable agriculture,influenza spread,,,reliable water resource management,Hydraulic power,,public* transport* system*,participation of Chad,urban villages,,peatland CO 2 storage,mangroves,Pithecophaga jefferyi,state terrorism,
,,sustainable biofuel production,influenza surveillance,,,reliable water resource Planning,hydraulic power plant,,pulp and paper,participation of China,urban waste,,peatland CO2 storage,mangroves restoration,Pitta gurneyi,stranger rape,
,,sustainable diets,influenza transmission,,,reliable water resources management,hydraulic power plants,,quality,participation of Colombia,urban wastes,,peatland storage,Manta Ray,Plagopterus argentissimus,substance abuse,
,,Sustainable intensification,influenza treatment,,,reliable water resources Planning,hydraulic power station,,quality infrastructure,participation of Comoros,urban wastewater,,photocatalytic conversion of carbon dioxyde,marathon,Planigale ingrami subtilissima,survivor of abuse,
,,sustainable production,influenza vaccination,,,remediation,hydraulic power stations,,quality infrastructures,participation of Congo,urban wastewaters,,photocatalytic conversion of CO 2,marginal ice zone*,Planigale tenuirostris,survivors of abuse,
,,sustainable* crop*,influenza vaccine,,,remediations,hydraulic turbine*,,quality of infrastructure,participation of Cook Islands,urban water,,photocatalytic conversion of CO2,mariculture,planning,systemic corruption,
,,Teenager*,influenza vaccines,,,removal,hydro,,quality of infrastructures,participation of Costa Rica,urban water cycle,,photocatalytic reduction of carbon dioxyde,mariculture*,plant conservation,terror organisation,
,,tendon lesion,influenza virus detection,,,renal,hydro development,,R & D,participation of Cuba,urban water management,,photocatalytic reduction of CO 2,marine,plant genetic,terror organisations,
,,tendon* injur*,influenza virus vaccine,,,Renewable Energy,hydro developments,,R and D,participation of Côte d''Ivoire,urban water quality,,photocatalytic reduction of CO2,Marine Archaeology,plant genetic resources,terror organization,
,,tillage,influenza virus vaccines,,,reservoir,hydro electric cascade*,,R&D,participation of developing countries,urban water supply,,photoreduce carbon dioxide,marine biotechnology,plant harvesting,terror organizations,
,,tomato,infodemic*,,,reservoirs,hydro electric dam*,,rail,participation of developing economies,urban waterlogging,,photoreduce CO 2,marine conservation,plant invaders,terrorism prevention,
,,tomatoes,intrauterine death,,,residential,hydro electric development,,railroad,participation of developing nations,urban*,,photoreduce CO2,marine current power,plant invasion,terrorist group,
,,tradional variet*,intrauterine deaths,,,Resource protection,hydro electric development*,,railroad infrastructure,participation of Djibouti,urban* design*,,photoreducing carbon dioxide,marine debris,plant invasions,terrorist groups,
,,traditional agriculture,intrauterine demise,,,restoration,hydro electric energy,,railroad infrastructures,participation of Dominica,urban* expansion*,,photoreducing CO 2,marine debris ingestion,plant invasive,terrorist network,
,,traditional variet*,Iran,,,restoration and management,hydro electric engineering,,railroads,participation of Dominican Republic,urban* plan*,,photoreducing CO2,Marine eco-compensation,plant*,terrorist networks,
,,traditional* agricultur*,Iraq,,,restoration of aquifers,hydro electric exploitation,,railway,participation of Ecuador,urban* woodland*,,photoreduction of carbon dioxide,Marine ecocompensation,plantation forestry,terrorist organisation,
,,training* facilit*,Jamaica,,,restoration of ground-water,hydro electric facilit*,,railway infrastructure,participation of Egypt,urbanicity,,photoreduction of CO 2,marine ecological protection,plantation forests,terrorist organisations,
,,tribal farmers,Japanese encephalitis,,,restoration of ground-waters,hydro electric generating unit*,,railway infrastructures,participation of emerging countries,urbanisation,,photoreduction of CO2,marine ecological protection and management,plantation management,terrorist organization,
,,tribal* agricultur*,Jordan,,,restoration of groundwater,hydro electric generation,,railways,participation of emerging economies,urbanization,,photosynthesis,marine ecosystem assets accounting,plantation* or* forest*,terrorist organizations,
,,tribal* farm*,Kazakhstan,,,restoration of groundwaters,hydro electric generator*,,rapid manufacturing,participation of emerging nations,urbanization policy,,photosynthetic,marine ecosystem restoration,Planted forests,ticket fixing,
,,tuber,Kenya,,,restoration of lakes,hydro electric licens*,,rapid prototyping,participation of Equatorial Guinea,urbanized,,phytoplankton,marine ecosystems restoration,Platanista gangetica minor,trade mispricing,
,,tubers,kidney disease,,,restoration of pond,hydro electric plant*,,rapid tooling,participation of Eritrea,vehicle,,policies,marine endangered species,Platysteira laticincta,traffic of influence,
,,Turf grass,kidney diseases,,,restoration of ponds,hydro electric potential,,rapid* prototyp*,participation of Eswatini,Vehicle Emission,,policy,marine energy,Plethobasus cyphyus,trafficking network,
,,turfgrass,Kiribati,,,restoration of rivers,hydro electric power,,recycled,participation of Ethiopia,Vehicle Emissions,,policy holder,marine eutrophication,Plethodon neomexicanus,trafficking networks,
,,under* represent*,KNEE,,,restoration of stream,hydro electric power*,,Recycled waste,participation of Fiji,vehicle*,,policy holders,marine industry,Plethodon shenandoah,trafficking survivor,
,,undernourished,knowledge about aids,,,restoration of Streambank,hydro electric powerplant*,,Recycled wastes,participation of Gabon,vehicles,,policy maker,marine litter,Pleurobema clava,trafficking survivors,
,,undernutrition,knowledge about hiv,,,restoration of Streambanks,hydro electric production,,recycling,participation of Gambia,veterinary,,policy makers,marine macro plastic,Pleurobema collina,trafficking victim,
,,unequal access,knowledge of aids,,,restoration of streams,hydro electric project*,,Recycling waste,participation of Georgia,vulnerab*,,policyholder,marine macro plastics,Pleurobema decisum,trafficking victims,
,,unpaid,knowledge of hiv,,,restoration of the aquifer,hydro electric reservoir*,,Recycling wastes,participation of Ghana,vulnerability,,policyholders,marine macroplastic,Pleurobema furvum,transfer mispricing,
,,Urban agriculture,knowledge of malaria,,,restoration of the aquifers,hydro electric resource*,,reduc*,participation of Grenada,vulnerability analysis,,policymaker,marine macroplastics,Pleurobema georgianum,transfer pricing manipulation,
,,urban green space,Kosovo,,,restoration of the lake,hydro electric scheduling,,reduced,participation of Guatemala,vulnerability assessment,,policymakers,marine management,Pleurobema gibberum,transitional justice,
,,value* added*,Kyrgyzstan,,,restoration of the lakes,hydro electric station,,reduced carbon dioxide emission,participation of Guinea,walking,,pollution,marine material,Pleurobema plenum,transparency international,
,,value-added processing,lack of doctors,,,restoration of the river,hydro electric stations,,reduced carbon dioxide emissions,participation of Guinea-Bissau,walking and cycling,,Pollution,marine materials,Pleurobema pyriforme,transparency of government,
,,valueadded processing,lack of health personnel,,,restoration of the rivers,hydro electric supply,,reduced CO 2 emission,participation of GuineaBissau,warning,,post-combustion,marine micro plastic,Pleuronaia dolabelloides,transparency of governments,
